title,video_id,views,likes,comment_count,published_at,data,hora
Bradesco Lojista,USpFx6dkSro,12473,153,0,2010-09-16 15:18:24+00:00,2010-09-16,15:18:24
Página inicial - Novo Bradesco Internet Banking,bRquMQb2eVU,39077,171,27,2011-07-13 17:43:10+00:00,2011-07-13,17:43:10
Bradesco - Link 237,5BoKULBoWAo,3620612,25351,1038,2011-07-28 15:23:52+00:00,2011-07-28,15:23:52
Novo Aplicativo Bradesco,yK5w_MzwHGI,171193,508,62,2011-11-17 20:56:13+00:00,2011-11-17,20:56:13
Mobilidade,IyCfpAYYefg,64538,125,5,2012-01-19 21:23:09+00:00,2012-01-19,21:23:09
Servidores Públicos RJ - Marco Nanini,ez1SmZWyzzI,17240,31,2,2012-01-23 15:32:55+00:00,2012-01-23,15:32:55
Servidores Públicos do Rio de Janeiro,fngE-FA1-IQ,15678,32,1,2012-01-23 15:39:25+00:00,2012-01-23,15:39:25
Conte comigo!,qzNHwwsXi_w,18329,56,4,2012-05-24 18:07:18+00:00,2012-05-24,18:07:18
O Gerente,AfrKnHFFNAY,119230,74,9,2012-05-25 10:56:18+00:00,2012-05-25,10:56:18
Agora é BRA!,5idB5r0V8Yk,81518,142,11,2012-06-27 23:38:25+00:00,2012-06-27,23:38:25
Brazuca,WN9OuiR_OU0,106202,166,26,2012-07-15 13:07:25+00:00,2012-07-15,13:07:25
Começou a Jornada,9E4sLeNeLL0,126760,489,54,2012-08-15 02:24:47+00:00,2012-08-15,02:24:47
Time Paralímpico Brasileiro,Vq5jqOOBJlo,31151,74,2,2012-08-24 22:29:27+00:00,2012-08-24,22:29:27
Bradesco - Obstáculos,SV2k0bgHCJg,107806,373,22,2012-10-19 21:17:56+00:00,2012-10-19,21:17:56
Dia Internacional da Pessoa com Deficiência,k31fYHg6Cbk,7163,39,4,2012-12-03 19:01:49+00:00,2012-12-03,19:01:49
Sociedade de Negócios - Tutorial,WqrBXXsWGxI,4761,26,1,2012-12-07 12:56:08+00:00,2012-12-07,12:56:08
Bradesco - Campanha Fim de ano,soSnvODNxLg,213016,282,36,2012-12-11 21:27:04+00:00,2012-12-11,21:27:04
Bradesco - Campanha Fim de Ano / Mário Quintana,79-io3y2gxo,57839,292,38,2012-12-26 18:30:09+00:00,2012-12-26,18:30:09
Bradesco - Campanha de Fim de Ano / Fernando Sabino,Ln17zRCJiRc,43669,151,12,2012-12-28 17:22:08+00:00,2012-12-28,17:22:08
Crédito Bradesco para despesas de início de ano,J90WwSjLHhM,41089,100,8,2013-01-09 10:30:48+00:00,2013-01-09,10:30:48
Sociedade de Negócios - Rubens Casselhas (Pão do Parque),7Qyku52qqdM,11190,64,6,2013-01-18 12:54:39+00:00,2013-01-18,12:54:39
Sociedade de Negócios - Alexandre Costa (Cacau Show),qVEfQ2E9Lzo,7367,34,6,2013-01-18 12:55:17+00:00,2013-01-18,12:55:17
Sociedade de Negócios - Fátima Rocha (Megamatte),R4GsLUGqyTc,8431,29,2,2013-02-18 11:28:08+00:00,2013-02-18,11:28:08
Novo bradesco.com.br,bRltB8WvyHM,147842,477,18,2013-03-09 09:42:36+00:00,2013-03-09,09:42:36
Novo bradesco.com.br,8AFYXFvRosQ,125844,432,24,2013-03-09 09:43:59+00:00,2013-03-09,09:43:59
Sociedade de Negócios - Robinson Shiba (China In Box),4XEBuuhXMNI,11149,55,2,2013-03-15 13:42:25+00:00,2013-03-15,13:42:25
Bradesco 70 anos - Médica 30``,e9SsKVXeyS4,373753,38,1,2013-04-03 11:20:36+00:00,2013-04-03,11:20:36
Bradesco Empresas - Gestão de Caixa,R0ADX1w2X1M,645158,3907,323,2013-05-17 18:37:26+00:00,2013-05-17,18:37:26
Bradesco Empresas - Pagamentos,etIEEXl65LI,700818,3324,420,2013-05-24 19:14:04+00:00,2013-05-24,19:14:04
Bradesco Empresas - Recebimentos,exSfPR6HCVI,528600,2899,218,2013-05-31 15:09:25+00:00,2013-05-31,15:09:25
Somos Todos BRA,QLENfE6Uqpw,1160568,76,13,2013-06-10 20:02:28+00:00,2013-06-10,20:02:28
Crédito Consignado é Bradesco. É rápido. É fácil.,ib86JBFS9q4,137980,617,37,2013-09-02 21:00:24+00:00,2013-09-02,21:00:24
Making-of Judô é BRA,Cg66J9NuzsE,3210,15,1,2013-09-03 18:03:53+00:00,2013-09-03,18:03:53
Sociedade de Negócios -- Marcos Khalil (UZ games),uITILnP_Z90,4338,45,6,2013-09-04 14:01:38+00:00,2013-09-04,14:01:38
Sociedade de Negócios -- Jaques Costa (Easycomp),c61pihorzTI,2691,18,0,2013-09-23 17:27:35+00:00,2013-09-23,17:27:35
Making-of do Basquete,rNe7a735aPE,2058,12,0,2013-09-27 19:26:41+00:00,2013-09-27,19:26:41
Sociedade de Negócios - Humberto Kagawa e Flavia Marcondes (Tradicional Bolos),xNcVQRsrel4,10864,62,5,2013-10-09 21:00:37+00:00,2013-10-09,21:00:37
Crédito Imobiliário SIM,9X-z1GE5-WI,3414184,6660,503,2013-10-14 21:00:01+00:00,2013-10-14,21:00:01
Sociedade de Negócios - Altino Cristofoletti Jr. (Casa do Construtor),ghtYzV-yXjk,2848,7,0,2013-11-08 16:13:29+00:00,2013-11-08,16:13:29
Pictogramas dos Jogos Rio 2016,ppAEBY8MuBE,9322,57,4,2013-11-12 13:13:49+00:00,2013-11-12,13:13:49
Making-of Rugby | Acreditar é BRA,CEsAoiYK7QE,3406,26,0,2013-11-18 19:46:22+00:00,2013-11-18,19:46:22
Bradesco Net Empresa - Praticidade nas Transações,y6ecbRpus90,35093,100,2,2013-11-25 22:30:01+00:00,2013-11-25,22:30:01
Bradesco Net Empresa - Gerenciamento das Operações,v4A59kVAOEA,49880,223,15,2013-11-25 22:30:01+00:00,2013-11-25,22:30:01
Bradesco Net Empresa - Soluções Personalizadas,QYvpF2F5Ka4,34652,82,5,2013-11-25 22:30:01+00:00,2013-11-25,22:30:01
Bradesco Net Empresa - Customização de Serviços,Ij03dIY7Y-4,43153,95,4,2013-11-25 22:30:01+00:00,2013-11-25,22:30:01
Bradesco Net Empresa - Multiplataforma,AUnei3tXZYA,189664,626,37,2013-11-25 22:30:01+00:00,2013-11-25,22:30:01
Tudo sobre o Bradesco Net Empresa.,9FMRXPCz0bs,318639,1502,73,2013-11-25 22:30:01+00:00,2013-11-25,22:30:01
Bradesco Net Empresa.,7ElaJe2WRLk,160919,619,20,2013-11-25 22:30:01+00:00,2013-11-25,22:30:01
Sociedade de Negócios - Alexandre Guerra (Giraffas),O5WY7Hww4IA,10221,61,4,2013-12-11 12:19:44+00:00,2013-12-11,12:19:44
Bradesco - Quero que todo mundo tenha,sjNwpFkI7DU,1929068,149,19,2013-12-17 20:39:17+00:00,2013-12-17,20:39:17
Crédito Bradesco - Início de ano,Rgla7uHlfmA,47211,105,10,2014-01-08 19:42:25+00:00,2014-01-08,19:42:25
Carnaval é BRA,DuCMvR_ipwM,72656,98,10,2014-02-24 17:08:58+00:00,2014-02-24,17:08:58
Tudo de BRA para você - Narração Maria Gadú,4qIGN3Sji60,1643442,326,39,2014-03-24 12:52:21+00:00,2014-03-24,12:52:21
Tudo de BRA para você - Narração Otaviano Costa,6zbaJc-2wdg,1261044,471,35,2014-03-24 12:53:01+00:00,2014-03-24,12:53:01
Tudo de BRA para você - Narração Luiz Melodia,3gafylo_CYg,1128326,168,14,2014-03-24 12:53:22+00:00,2014-03-24,12:53:22
