title,video_id,views,likes,comment_count,published_at,data,hora
"Inscreva-se no Opp, o hub de oportunidades do C6 Bank",PyYfSr1o55g,2325,152,7,2018-09-28 14:01:45+00:00,2018-09-28,14:01:45
Por que o C6 Bank nasce diferente dos outros bancos?,mRiVVyQ79OA,25346,733,95,2018-12-21 20:49:13+00:00,2018-12-21,20:49:13
Como é construir um banco do zero | C6 Bank,jIG2cM2YJXc,2764,201,34,2018-12-29 10:57:13+00:00,2018-12-29,10:57:13
Você já conheceu pessoas que construíram um banco do zero?,4xO-1JEshaw,3841,255,55,2019-01-25 14:55:13+00:00,2019-01-25,14:55:13
C6 Beta Tester: queremos te fazer um convite,XS7WqxAEAfc,1920,195,22,2019-04-11 19:59:36+00:00,2019-04-11,19:59:36
Experimente o C6 Bank antes do lançamento,cdeCRHwyvVI,2277,233,21,2019-04-18 18:46:40+00:00,2019-04-18,18:46:40
C6 Beta Tester: construa um banco com a sua cara,TaoJnAvSnro,1300,143,7,2019-04-18 19:02:37+00:00,2019-04-18,19:02:37
Uri Levine no C6 Bank: 3 lições do fundador do Waze,RmQC7Mswvs0,1599,157,10,2019-04-23 16:08:05+00:00,2019-04-23,16:08:05
Seja um C6 Beta Tester,GvAV4f0NzxI,1668,171,28,2019-04-23 18:21:39+00:00,2019-04-23,18:21:39
C6 Bank no Aconcágua,t6FuWQQXD-8,3919,286,30,2019-04-24 21:05:12+00:00,2019-04-24,21:05:12
C6 Beta Tester: construa um banco diferente,4tTnqsasvds,2011,240,44,2019-04-26 20:25:41+00:00,2019-04-26,20:25:41
5 motivos para ser um C6 Beta Tester,DOES67XnfiM,5103,631,286,2019-05-07 15:12:14+00:00,2019-05-07,15:12:14
Notícia boa para quem pediu para ser C6 Beta Tester,YNYpKRojrRM,3016,292,78,2019-05-09 19:13:04+00:00,2019-05-09,19:13:04
O que minha mãe faz no C6 Bank? #DiaDasMães,-HGIpVAhTlQ,2272,266,52,2019-05-11 18:57:23+00:00,2019-05-11,18:57:23
C6 Beta Tester: saiba mais sobre a entrega dos convites,MPez5M3HwCw,3795,389,232,2019-05-17 23:24:11+00:00,2019-05-17,23:24:11
C6 Beta Tester: saiba como enviar sugestões,ZoJKhlJPppo,1737,153,93,2019-05-31 18:30:14+00:00,2019-05-31,18:30:14
Ficou ainda mais fácil ser um C6 Beta Tester,VPn8_mbKvso,1701,129,91,2019-07-05 13:22:27+00:00,2019-07-05,13:22:27
