title,video_id,views,likes,comment_count,published_at,data,hora
"Live Itaú - Tendências, Novidades e Recomendações de Investimentos",Nbr4R_IpbUc,163796,1463,102,2018-06-20 23:58:16+00:00,2018-06-20,23:58:16
"Propostas para o recomeço, com Rodrigo Maia (Presidente da Câmara) e Mario Mesquita",BlA49kGzV_M,21011,395,113,2020-04-03 13:41:15+00:00,2020-04-03,13:41:15
Coletiva Itaú Unibanco - Todos pela Saúde,baU-vo7KWbw,111380,1939,0,2020-04-13 14:52:39+00:00,2020-04-13,14:52:39
Como Cuidar da Saúde do Seu Negócio em Cenários Complexos,vbs3xvBcWCY,28469,400,24,2020-05-18 22:49:14+00:00,2020-05-18,22:49:14
Seguros Itaú - Como enviar os documentos para análise de sinistro pelo site?,gvHdlSsAy0o,390466,2703,0,2020-07-03 18:15:54+00:00,2020-07-03,18:15:54
Tutorial II | Entenda a mecânica do iPhone pra Sempre,bm26FIFGXME,49036,505,101,2020-08-18 23:47:04+00:00,2020-08-18,23:47:04
Tutorial I | Conheça o iPhone pra Sempre,SFJYK6HH450,25786,228,46,2020-08-18 23:47:08+00:00,2020-08-18,23:47:08
Tutorial III | Como contratar o iPhone pra Sempre,AIouhzrPCN4,38913,380,59,2020-08-18 23:47:11+00:00,2020-08-18,23:47:11
Itaú Seguros: como acessar todos os documentos pelo site?,Iqyxce22FDc,75127,577,0,2020-11-09 19:29:43+00:00,2020-11-09,19:29:43
Acesse as informações do seu seguro no app Itaú.,blmjW59QoWM,70883,650,0,2020-11-23 21:55:23+00:00,2020-11-23,21:55:23
Itaú Day 2021,r5vRHy39Iz0,216324,3100,70,2021-06-02 15:13:52+00:00,2021-06-02,15:13:52
Itaú Day 2021 | English version,_zoo457b8qQ,11808,78,3,2021-06-03 20:11:30+00:00,2021-06-03,20:11:30
Carreiras que estão construindo o novo banco do varejo,1O6C19weDiY,36060,837,57,2021-06-24 22:49:21+00:00,2021-06-24,22:49:21
O que você precisa saber sobre Consórcio | Mitos e verdades,QoBhfTjKiX8,1243191,648,23,2021-06-29 14:08:13+00:00,2021-06-29,14:08:13
O que você precisa saber sobre Consórcio | Como contratar,HOUQSSD8yDw,23183,215,17,2021-06-29 17:03:47+00:00,2021-06-29,17:03:47
O que você precisa saber sobre Consórcio| Resultado dos sorteios e lances,I-JrHpkwfQI,44238,618,59,2021-06-29 17:06:56+00:00,2021-06-29,17:06:56
O que você precisa saber sobre Consórcio | Como antecipar seu sonho,g2ykTYCH6sI,64343,768,37,2021-06-29 17:10:05+00:00,2021-06-29,17:10:05
"O que você precisa saber sobre Consórcio| Os planos mudaram, e agora?",kicRqCQZdnY,35007,328,7,2021-06-29 17:59:11+00:00,2021-06-29,17:59:11
O que você precisa saber sobre Consórcio | Alegria de ser contemplado,B44ITXmEolQ,37239,384,24,2021-06-29 18:09:57+00:00,2021-06-29,18:09:57
O que você precisa saber sobre Consórcio | Planejando o futuro,4GUrMJeeFwY,1069433,555,23,2021-06-30 18:21:05+00:00,2021-06-30,18:21:05
O que você precisa saber sobre Consórcio | Faturamento sem mistério,z6nrAmV8y60,28947,293,19,2021-06-30 18:34:23+00:00,2021-06-30,18:34:23
Itaú. Feito com Você,TzqM4nfmp4k,7420943,829,17,2021-06-30 23:01:53+00:00,2021-06-30,23:01:53
Itaú. Feito com você,4WUihrsYTR0,2062837,236,3,2021-08-19 12:13:59+00:00,2021-08-19,12:13:59
Sinistro ou Assistência? A gente descomplica pra você,Coz8eHzWRwI,35046,295,6,2021-09-21 19:19:41+00:00,2021-09-21,19:19:41
Seguro Auto - Chega de passar sufoco,sq7YA1R9LmU,41405,332,0,2021-10-22 12:16:08+00:00,2021-10-22,12:16:08
Seguro Residencial - Você sabe pra que serve?,Wz8qCwP_zcY,39021,304,0,2021-10-22 12:18:27+00:00,2021-10-22,12:18:27
Você sabe pra que serve o Seguro Prestamista?,cAYhRmnj0GM,23288,184,0,2021-12-16 17:32:08+00:00,2021-12-16,17:32:08
Seguro Prestamista: feito com Rodrigo,_xbzdr7lUQc,4123,54,0,2021-12-22 12:21:46+00:00,2021-12-22,12:21:46
Seguros do Itaú: feito com você,SBndo0MkGyk,6495,61,0,2021-12-22 20:48:25+00:00,2021-12-22,20:48:25
