title,video_id,views,likes,comment_count,published_at,data,hora
Nubank no Red Bull Soapbox 2015,KkEcEH9hE3c,7902,473,21,2015-10-09 19:38:10+00:00,2015-10-09,19:38:10
Carnaval Nubank 2016,kwaYFvHN8x8,9296,420,47,2016-02-05 13:05:34+00:00,2016-02-05,13:05:34
Bem-vindo ao nosso canal!,GE9w4vDst2o,33854,1030,161,2016-04-07 15:01:32+00:00,2016-04-07,15:01:32
10 fatos sobre o Nubank,UJtnOdaOrLY,219296,8663,834,2016-07-22 15:29:21+00:00,2016-07-22,15:29:21
Melhores momentos dos Jogos Nus 2016,_GRiEik6CHU,8603,410,36,2016-08-12 14:27:58+00:00,2016-08-12,14:27:58
Desafio do Manequim Nubank,05btQprrq9Q,13516,630,93,2016-11-17 15:14:58+00:00,2016-11-17,15:14:58
Obrigado 2016!,8G9LCnnFIWg,176881,14592,1455,2016-12-23 15:05:03+00:00,2016-12-23,15:05:03
Conheça os Nubankers | Rafael Lisboa | EP1,UgHVVgrHfdg,37381,1628,140,2017-03-14 19:47:46+00:00,2017-03-14,19:47:46
Conheça os Nubankers | Carol Yumi | EP2,P9Lxrpni2I0,65776,1867,152,2017-04-17 18:00:57+00:00,2017-04-17,18:00:57
Conheça os Nubankers | Thales Machado | EP3,2ekA3jtJ23I,28004,1335,155,2017-05-15 17:01:05+00:00,2017-05-15,17:01:05
Quer conhecer mais um Nubanker?,DBvVlkCnj90,8334,506,57,2017-06-20 14:31:43+00:00,2017-06-20,14:31:43
Conheça os Nubankers | Erick Mazer | EP4,vL3Xx_tkyD8,27897,972,78,2017-06-22 13:00:08+00:00,2017-06-22,13:00:08
Quais Nubankers você já conheceu?,PmW-BdTKiX8,18176,717,101,2017-07-11 14:37:11+00:00,2017-07-11,14:37:11
Conheça os Nubankers | Aly Ahearn | EP5,gm6OFtxa_hk,27586,977,95,2017-07-25 22:07:14+00:00,2017-07-25,22:07:14
Conheça os Nubankers | Luam Totti | EP6,clck97Bwy4M,31538,1265,126,2017-08-29 14:30:01+00:00,2017-08-29,14:30:01
